$CSV$COLUMNTITLES$username,password,ro$SEPARATOR$,
prof_pt_co3_mgr_0001@ptcunoemail.com,prof7763
prof_pt_co3_mgr_0002@ptcunoemail.com,prof7763
prof_pt_co3_mgr_0003@ptcunoemail.com,prof7763
prof_pt_co3_mgr_0004@ptcunoemail.com,prof7763
prof_pt_co3_mgr_0005@ptcunoemail.com,prof7763
prof_pt_co3_mgr_0006@ptcunoemail.com,prof7763
prof_pt_co3_mgr_0007@ptcunoemail.com,prof7763
prof_pt_co3_mgr_0008@ptcunoemail.com,prof7763
prof_pt_co3_mgr_0009@ptcunoemail.com,prof7763
prof_pt_co3_mgr_0010@ptcunoemail.com,prof7763
