EMAIL,nameMGR_LAST,nameMGR_FIRST,CUST_NUM,SITE_NUM,COUNTRY,LANGUAGE,PHONE,PTCU_SUPERVISOR,MANAGER_UID,PTCU_ACCESS,PW_HINT,PW_ANSWER 
prof_pt_co3_mgr_0001@ptcunoemail.com,LastnameMGR_0001,FirstnameMGR_0002
prof_pt_co3_mgr_0002@ptcunoemail.com,LastnameMGR_0002,FirstnameMGR_0002
prof_pt_co3_mgr_0003@ptcunoemail.com,LastnameMGR_0003,FirstnameMGR_0003
prof_pt_co3_mgr_0004@ptcunoemail.com,LastnameMGR_0004,FirstnameMGR_0004
prof_pt_co3_mgr_0005@ptcunoemail.com,LastnameMGR_0005,FirstnameMGR_0005
prof_pt_co3_mgr_0006@ptcunoemail.com,LastnameMGR_0006,FirstnameMGR_0006
prof_pt_co3_mgr_0007@ptcunoemail.com,LastnameMGR_0007,FirstnameMGR_0007
prof_pt_co3_mgr_0008@ptcunoemail.com,LastnameMGR_0008,FirstnameMGR_0008
prof_pt_co3_mgr_0009@ptcunoemail.com,LastnameMGR_0009,FirstnameMGR_0009
prof_pt_co3_mgr_0010@ptcunoemail.com,LastnameMGR_0010,FirstnameMGR_0010
